N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps
100,0.48,0,553,23,0.0,,-1.30453,0.000371307,1.76919,0.000991557,3.61247,0.00431845,0.3092,0.000380125,0.142239,0.000318158,0.0494162,0.000206763,54950000000
300,0.48,0,2783,56,0.0,,-1.34507,0.000302154,1.83242,0.000824833,3.52967,0.00322681,0.191451,0.000235624,0.0565767,0.000150551,0.00894402,5.04652e-05,56660000000
600,0.48,0,7827,95,0.0,,-1.35482,0.000303768,1.84707,0.000827227,3.49738,0.00313409,0.13758,0.000146807,0.0294705,5.96332e-05,0.00251847,1.18183e-05,57870000000
1200,0.48,0,21901,198,0.0,,-1.35868,0.000458049,1.85166,0.00124874,3.47069,0.00468541,0.0981607,0.000134316,0.015072,4.12161e-05,0.000669347,4.24045e-06,57180000000
2400,0.48,0,61517,412,0.0,,-1.36191,0.000269849,1.85761,0.000736362,3.47158,0.00275656,0.0696508,5.69884e-05,0.00760328,1.17132e-05,0.000171852,5.46422e-07,353920000000
4800,0.48,0,176417,2416,0.0,,-1.36238,0.000517884,1.85751,0.00136307,3.46091,0.00483866,0.0494532,6.48177e-05,0.00383724,9.86203e-06,4.39233e-05,2.37799e-07,327530000000
6000,0.48,0,250067,5817,0.0,,-1.36242,0.000642249,1.85736,0.00173441,3.45835,0.00638381,0.0439988,8.14658e-05,0.00303883,1.10533e-05,2.76709e-05,2.15929e-07,221880000000
7200,0.48,0,336971,15605,0.0,,-1.36262,0.00104059,1.85787,0.00267496,3.4598,0.00911915,0.0401651,9.38762e-05,0.00253527,1.15356e-05,1.93208e-05,1.93542e-07,212750000000
100,0.49,0,527,25,0.0,,-1.35918,0.00045354,1.91721,0.00125002,4.21675,0.00553823,0.331676,0.000410793,0.161953,0.000323848,0.0618419,0.000206733,52670000000
300,0.49,0,2587,56,0.0,,-1.40738,0.000265299,2.00565,0.00075169,4.2248,0.00317322,0.209653,0.000235859,0.0675713,0.000138545,0.012529,5.0075e-05,54810000000
600,0.49,0,7182,90,0.0,,-1.41895,0.000404198,2.02583,0.00115655,4.20538,0.00483424,0.151392,0.00018361,0.03564,8.29461e-05,0.0036544,1.91207e-05,55740000000
1200,0.49,0,20395,190,0.0,,-1.42448,0.000496631,2.03534,0.00141909,4.19331,0.00585667,0.108246,0.000185269,0.018306,5.98592e-05,0.000982132,6.67861e-06,54920000000
2400,0.49,0,57231,371,0.0,,-1.42768,0.000318523,2.04133,0.00091092,4.19219,0.00374443,0.0769797,6.44803e-05,0.0092849,1.5121e-05,0.000255982,8.59066e-07,350350000000
4800,0.49,0,162444,2257,0.0,,-1.42886,0.000549092,2.04319,0.00154928,4.18731,0.00622688,0.0544944,9.49156e-05,0.00465971,1.56811e-05,6.49211e-05,4.15184e-07,318100000000
6000,0.49,0,225985,4202,0.0,,-1.42984,0.000664739,2.04567,0.00190064,4.19462,0.00779865,0.0488041,9.59817e-05,0.00373962,1.42558e-05,4.18678e-05,3.53435e-07,217420000000
7200,0.49,0,312479,15855,0.0,,-1.4295,0.00102967,2.04483,0.00268323,4.19146,0.00971839,0.0445867,0.000109928,0.00312182,1.54305e-05,2.91601e-05,3.04406e-07,211160000000
100,0.5,0,494,24,60.3219,0.0410543,-1.41571,0.000326521,2.07639,0.00103638,4.91538,0.00551001,0.356189,0.00026789,0.184571,0.000243471,0.0773299,0.000182877,88900000000
300,0.5,0,2393,53,263.957,0.281108,-1.47411,0.000214687,2.19963,0.000638924,5.07563,0.00296866,0.231671,0.000193473,0.0819371,0.000125233,0.0180074,5.45719e-05,99700000000
600,0.5,0,6621,82,697.175,0.795315,-1.4893,0.000142434,2.23163,0.000425503,5.10276,0.0019323,0.169249,7.10684e-05,0.0443949,3.45962e-05,0.00560106,8.98263e-06,472100000000
